   -0.288539791698758563E+01   -0.828785402981331032E+01   -0.592239343259892248E+01   -0.110815489708951134E+02   -0.444392814459727425E+01   -0.600231842128566040E+01    0.106157436848415819E+04    0.182187043221122380E+01    0.300798436073166586E+00   -0.305601001659396232E+01   -0.544309955859803463E+01   -0.107938070909213391E+01   -0.344245765873473175E+01    0.914908668813354886E+01   -0.111259401511015881E+02   -0.178574121511521522E+01    0.319431734459575900E+00    0.437574107828876402E+00    0.124046935734712687E+02    0.201257528861086138E+00    0.343290946795820992E+04    0.490767233956294513E+04    0.213797868891467033E+04
   -0.298926935398030658E+01   -0.745661789819558152E+01   -0.700554024953537890E+01   -0.433225167379318510E+01   -0.936480338642177657E+01   -0.426859412916142844E+01    0.821015342659411544E+03    0.765019488835388950E+00    0.180594382546337617E+01   -0.249919468552352431E+01   -0.689647612963459355E+01   -0.370635507825999078E+00   -0.444995394401305333E+01    0.693508607369684071E+01   -0.701793460655228252E+01    0.413059866648019636E+00    0.574973091074254539E+00    0.449453902033313701E+00    0.138251420861546102E+02    0.197594747752428856E+00    0.335977310339250380E+04    0.482818981693120259E+04    0.214236991896264044E+04
   -0.239960189803115753E+01   -0.672243680285521439E+01   -0.497819247459192038E+01   -0.112046525968054986E+02   -0.805797118341227225E+01   -0.392087616342229239E+01    0.744974332577952509E+03    0.146088887786058907E+01    0.116439324396057398E+01   -0.327592109806232745E+01   -0.485491870596665187E+01    0.554545912728357404E+00   -0.480481762738271811E+01    0.872535835704496243E+01   -0.102883889678658260E+02   -0.963001705612731129E+00    0.587995191532116435E+00    0.447251583211737747E+00    0.121118482779897736E+02    0.215887141210897748E+00    0.333069193705024009E+04    0.492732905170938739E+04    0.214437509643931253E+04
   -0.877201159729919411E+00   -0.646147438236859539E+01   -0.801549049450327722E+01   -0.105743067013780241E+02   -0.766441979902941029E+01   -0.949765717962515943E+01    0.750437749020781780E+03    0.150801945301180429E+01    0.402001022821948106E+00   -0.514731324779655797E+01   -0.800743135906707870E+01    0.242323938548569817E+00   -0.544189311096426920E+01    0.922278592831875699E+01   -0.111589511656885563E+02   -0.632072898029335306E+00    0.761408219655820062E+00    0.444553869258211276E+00    0.817325193148663587E+01    0.189109373947262932E+00    0.325070569097068073E+04    0.489067148463640297E+04    0.214444032136630449E+04
   -0.294501696006302360E+01   -0.819133041726274946E+01   -0.101743368947690467E+02   -0.461085433057742122E+01   -0.225717258670162835E+01   -0.103387189632335872E+02    0.133399687172995255E+04    0.133294899798855893E+01    0.125157513122383190E+01   -0.162858751568038951E+01   -0.164653050277906665E+01    0.833403164501767435E+00   -0.467713632183250638E+01    0.840627320301940806E+01   -0.109084914035088669E+02    0.348495694117836763E+00    0.550258081497932761E+00    0.462352194160888741E+00    0.181700012649755749E+02    0.188407832883550175E+00    0.346150046843033670E+04    0.484050694014389865E+04    0.214450816952292598E+04
   -0.870193218290909343E+00   -0.103064130598008958E+02   -0.918819397933451221E+01   -0.444392697513177293E+01   -0.197091074158798385E+01   -0.371857627874932106E+01    0.451082632526588100E+03    0.107732838992538871E+01    0.924536275255166018E+00   -0.292307345656925488E+01   -0.497636557199900942E+01   -0.159525380486385226E+01   -0.459179434749376547E+01    0.869079480299254570E+01   -0.127357301533089196E+02   -0.123353170945832691E+01    0.660666162247247168E+00    0.446120876723533510E+00    0.383358011508024532E+01    0.201868233870446168E+00    0.329279937673964423E+04    0.494428834482235834E+04    0.214505963783389097E+04
   -0.190565557350563353E+01   -0.931536109891779063E+01   -0.611765939099554235E+01   -0.980915904633698155E+01   -0.834913361076059601E+01   -0.441679952073703852E+01    0.117017797278170337E+04    0.184353823875701917E+01    0.185756308624293209E+00   -0.231190039007896520E+01   -0.432329975431003533E+01   -0.184743760915743138E+01   -0.626644333193784142E+01    0.910754386102154356E+01   -0.735723814949782806E+01   -0.300318340773762404E+01    0.461855099710081096E+00    0.457597110618735925E+00    0.101865570918756276E+02    0.202445480954199508E+00    0.335853179548079970E+04    0.493646478007917449E+04    0.214509094987409526E+04
   -0.227615884221704690E+01   -0.965142869421609362E+01   -0.708609280247496187E+01   -0.636174015659860181E+01   -0.539400856556135100E+01   -0.871343644026153541E+01    0.700804482186687665E+03    0.123763602309352105E+01    0.178765750712308669E+01   -0.425173915205050879E+01   -0.703001795469142898E+01   -0.333112944718066961E+00   -0.482885049035815861E+01    0.476142905515169090E+01   -0.468606358244224097E+01   -0.119959644144419375E+01    0.690497497777392444E+00    0.456314393635825988E+00    0.791108463198266332E+01    0.203442419545892650E+00    0.334651905736212484E+04    0.482602970580995770E+04    0.214532934568716382E+04
   -0.244540748726978485E+01   -0.596510945395547232E+01   -0.100520624692879359E+02   -0.640875523233534583E+01   -0.365387292083704374E+01   -0.897449262943555048E+01    0.118088363469950491E+04    0.134759034288026402E+01    0.155948054202105046E+01   -0.448969138807860357E+01   -0.531395162885248329E+01   -0.602257167559168138E-01   -0.514141837087635878E+01    0.470737033160472151E+01   -0.355818300069744353E+01    0.123205458460127026E+01    0.844559824101926537E+00    0.451924573985621136E+00    0.102059121866925739E+02    0.192951340037767594E+00    0.332435880781347350E+04    0.490246405794469410E+04    0.214537088124387674E+04
   -0.198691616070522237E+01   -0.416936814198394323E+01   -0.409607686231758805E+01   -0.106081702409772269E+02   -0.486502228743129361E+01   -0.402061116699038301E+01    0.969985577680210213E+03    0.664293204589674113E+00    0.160201801960269985E+01   -0.301717060841421336E+01   -0.652052952356649129E+01    0.188112955036806051E+01   -0.466121836656216537E+01    0.637511014208780225E+01   -0.719924312305018432E+01   -0.233681748295877156E+01    0.868897959128665742E+00    0.443453304660621717E+00    0.113720774684172650E+02    0.198988508012868520E+00    0.351477245328788786E+04    0.489722229799226443E+04    0.214548961178816353E+04
