# %ECSV 1.0,
# ---,
# datatype:,
# - {name: Teff, datatype: float64}
# - {name: logg, datatype: float64}
# - {name: FeH, datatype: float64}
# - {name: profile, datatype: string}
# - {name: filter, datatype: string}
# - {name: wave_min, datatype: float16}
# - {name: wave_eff, datatype: float16}
# - {name: wave_max, datatype: float16}
# - {name: c1, datatype: float64}
# - {name: e1, datatype: float64}
# - {name: c2, datatype: float64}
# - {name: e2, datatype: float64}
# - {name: c3, datatype: float64}
# - {name: e3, datatype: float64}
# - {name: c4, datatype: float64}
# - {name: e4, datatype: float64}
# schema: astropy-2.0,
Teff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2 c3 e3 c4 e4,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.977 1.99 2.004 0.116 0.016 0.255 0.021 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.008 2.021 2.037 0.115 0.016 0.252 0.021 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.041 2.055 2.068 0.115 0.016 0.25 0.021 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.072 2.086 2.1 0.114 0.015 0.246 0.02 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.104 2.117 2.13 0.114 0.015 0.244 0.02 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.135 2.148 2.164 0.112 0.015 0.244 0.019 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.168 2.182 2.195 0.106 0.014 0.243 0.019 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.2 2.213 2.227 0.113 0.014 0.237 0.019 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.23 2.244 2.258 0.112 0.014 0.235 0.018 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.262 2.275 2.291 0.118 0.013 0.229 0.018 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.295 2.309 2.322 0.13 0.012 0.218 0.017 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.326 2.34 2.354 0.122 0.013 0.225 0.017 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.357 2.371 2.385 0.124 0.012 0.22 0.016 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.389 2.402 2.418 0.134 0.011 0.208 0.014 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.422 2.436 2.45 0.13 0.011 0.208 0.015 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.453 2.467 2.48 0.124 0.011 0.212 0.015 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.484 2.498 2.512 0.133 0.01 0.2 0.013 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.516 2.53 2.545 0.129 0.011 0.201 0.014 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.549 2.562 2.576 0.124 0.011 0.201 0.014 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.58 2.594 2.607 0.127 0.01 0.197 0.013 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.611 2.625 2.639 0.121 0.01 0.2 0.014 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.643 2.658 2.672 0.122 0.01 0.196 0.014 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.676 2.69 2.703 0.12 0.011 0.196 0.014 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.707 2.72 2.734 0.12 0.01 0.194 0.014 nan nan nan nan,
5000.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.738 2.752 2.766 0.111 0.01 0.197 0.014 nan nan nan nan,
