# %ECSV 1.0,
# ---,
# datatype:,
# - {name: Teff, datatype: float64}
# - {name: logg, datatype: float64}
# - {name: FeH, datatype: float64}
# - {name: profile, datatype: string}
# - {name: filter, datatype: string}
# - {name: wave_min, datatype: float16}
# - {name: wave_eff, datatype: float16}
# - {name: wave_max, datatype: float16}
# - {name: c1, datatype: float64}
# - {name: e1, datatype: float64}
# - {name: c2, datatype: float64}
# - {name: e2, datatype: float64}
# - {name: c3, datatype: float64}
# - {name: e3, datatype: float64}
# - {name: c4, datatype: float64}
# - {name: e4, datatype: float64}
# schema: astropy-2.0,
Teff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2 c3 e3 c4 e4,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 1.977 1.99 2.004 0.156 0.008 0.187 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.008 2.021 2.037 0.153 0.007 0.182 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.041 2.055 2.068 0.157 0.007 0.179 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.072 2.086 2.1 0.15 0.007 0.178 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.104 2.117 2.13 0.148 0.007 0.171 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.135 2.148 2.164 0.146 0.007 0.176 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.168 2.182 2.195 0.144 0.007 0.173 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.2 2.213 2.227 0.144 0.007 0.169 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.23 2.244 2.258 0.146 0.007 0.166 0.011 nan nan nan nan,
4900.0 4.0 0.0 quadratic NIRISS.CLEAR.GR700XD_1.SOSS 2.262 2.275 2.291 0.14 0.007 0.159 0.01 nan nan nan nan,
