   -0.197900839336852030E+01   -0.115275552946808961E+02   -0.105854987874369044E+02   -0.564021388961828318E+01   -0.845351981929883678E+01   -0.117934576268672924E+02    0.846084316791441324E+03    0.104331394566246694E+01    0.182975265139620635E+01   -0.515226313101748001E+01   -0.804398556683650767E+01   -0.655707296849740606E+00   -0.607844969334548324E+01    0.177814168923670124E+01   -0.171297163422484857E+02   -0.349631769532102865E+01    0.428006249036787689E+00    0.445409379086629087E+00    0.212675061298686110E+02    0.482628098697291619E+00    0.398906213459348464E+04    0.488340259365324255E+04    0.214095512946381677E+04
   -0.302515078598936960E+01   -0.980956896480990892E+01   -0.670448795268585407E+01   -0.663216574876293485E+01   -0.815846649628898390E+01   -0.887770859113044786E+01    0.645603308394201804E+03    0.715400609210316896E+00    0.160589231871191074E+01   -0.175712894609912063E+01   -0.670158116420645023E+01   -0.982768375808960704E+00   -0.552257933017783564E+01    0.700997631492548301E+01   -0.894483928831645336E+01    0.127373700852422189E+01    0.394285252348228421E+00    0.431854305858945631E+00    0.339382886123876730E+02    0.492369558833755938E+00    0.393804066625358791E+04    0.490541216912328127E+04    0.214130262712530021E+04
   -0.110009925678021858E+01   -0.359581446267744198E+01   -0.666329493751608393E+01   -0.612885738901571830E+01   -0.293636252572677492E+01   -0.453199606074087580E+01    0.669806523898890646E+03    0.174557411017220798E+01    0.918760359050026065E+00   -0.284208259509252592E+01   -0.392556673575075443E+01    0.759847529035168723E+00   -0.717689559949822087E+01    0.562967389925343298E+01   -0.172158780460997392E+02    0.796511224162776088E+00    0.626813098246634559E+00    0.442013219935170010E+00    0.159010319353641858E+02    0.482427880700687206E+00    0.391653503447671483E+04    0.494982248573058587E+04    0.214139671086144108E+04
   -0.149511142105413164E+01   -0.677054101139485454E+01   -0.690996098519765845E+01   -0.851910233996649957E+01   -0.468600691815493509E+01   -0.674266926253063126E+01    0.399597182578606635E+03    0.180758018094307493E+01    0.484649013462128242E+00   -0.284796452664558508E+01   -0.853257868967131472E+01    0.111619371235559983E+01   -0.392495402693158457E+01    0.427853555619073589E+01   -0.912096044227005365E+01    0.285323743087575465E+00    0.416587251042603302E+00    0.439442411196848404E+00    0.134782044189771995E+02    0.422381980980045091E+00    0.420376194649419995E+04    0.495781608273114398E+04    0.214157290268220049E+04
   -0.182151717258746615E+01   -0.363466922153695116E+01   -0.798980704782227136E+01   -0.107737938217679385E+02   -0.829979964320982866E+01   -0.970749409370641736E+01    0.100064860380616506E+04    0.189241601436230655E+01    0.874731544079435097E+00   -0.322993464183774925E+01   -0.462647435430234388E+01   -0.190518767590806437E+00   -0.641745138647546298E+01    0.764448657703871959E+01   -0.122863329642724004E+02   -0.740363564554980869E+00    0.541283333768298625E+00    0.445515658703937001E+00    0.286841520357418034E+02    0.463517355856505442E+00    0.397115912153353793E+04    0.486259390172073381E+04    0.214213316731505302E+04
   -0.235930397432686867E+01   -0.712227444811480837E+01   -0.832916058961633965E+01   -0.687420813129265973E+01   -0.100467645206160778E+02   -0.310133516553335298E+01    0.761562362822131490E+03    0.184253906338602302E+01    0.195849566694885513E+01   -0.807261615620454442E+01   -0.811334892680737241E+01    0.504629286634943330E+00   -0.635370717683043296E+01    0.133474909124909136E+01   -0.132250353681883706E+02   -0.705496542214746114E+00    0.698717666337181909E+00    0.447173212843020085E+00    0.327689150735876353E+02    0.467023975694817128E+00    0.408331760972428765E+04    0.495733012973257883E+04    0.214218001340262845E+04
   -0.164180461704415315E+01   -0.109306601054977257E+02   -0.104675009018462664E+02   -0.357558225668027774E+01   -0.698823063038386127E+01   -0.215862133625580555E+01    0.533981598136013190E+03    0.827012978415455069E+00    0.192428476308173124E+01   -0.122970576193320813E+01   -0.686476739698713700E+01    0.123436874875121250E+01   -0.563366681332252384E+01   -0.337636557346977728E+01   -0.721170005496314914E+01   -0.748648614558005576E+00    0.650078177812062008E+00    0.446045359177535905E+00    0.157188251982056890E+02    0.492400512004122881E+00    0.407455613380886325E+04    0.496616785918622918E+04    0.214225418894739141E+04
   -0.138369487665425872E+01   -0.109502490816753930E+02   -0.984709101631527162E+01   -0.396028475142071024E+01   -0.114105306864447282E+02   -0.598990522834334982E+01    0.525131842366177011E+03    0.102028237518253517E+01    0.156018121145642730E+01   -0.100343796067333635E+01   -0.331204645344334914E+01    0.497485939902051477E+00   -0.668469941757455111E+01   -0.595955608875581078E+00   -0.225341117359837995E+01   -0.581444959571955522E+00    0.580185552555829265E+00    0.455782952213068415E+00    0.202691025761423980E+02    0.485754950627192927E+00    0.421039485447965581E+04    0.489582288851674366E+04    0.214245844342323471E+04
   -0.803378767646957925E+00   -0.920195627896273471E+01   -0.116543403697086472E+02   -0.973890195059146535E+01   -0.351670171639754514E+01   -0.391528051332719684E+01    0.773188727862519841E+03    0.162857042432194565E+01    0.156836857930684537E+01    0.808264622656333032E+00   -0.831440248294837048E+01    0.162564688862974061E+01   -0.706802859360056246E+01    0.551894512869327158E+01   -0.508119203993651247E+01   -0.632546152213656399E+01    0.642778169297669510E+00    0.445472044739636863E+00    0.640765358343940239E+01    0.498822553626684595E+00    0.407147719583558228E+04    0.488727786264268980E+04    0.214289741379918814E+04
   -0.288214264827626643E+01   -0.654468610076260671E+01   -0.110728422562555320E+02   -0.110316205337637872E+02   -0.689200176760611338E+01   -0.675646238136332311E+01    0.103715811123792196E+04    0.171140091952776463E+01    0.858867775000855316E+00   -0.823484682539010748E-01   -0.121401276699589999E+00    0.547219488791270692E+00   -0.641136587638172983E+01    0.608414174087061888E+01   -0.954173130116646462E+01    0.151172619685157983E+01    0.790537915484071374E+00    0.448051279447551298E+00    0.293783468189425925E+02    0.432703641989407917E+00    0.377572418013684319E+04    0.480299721223642700E+04    0.214316624605448123E+04
